NO,COUNTY,QNT2015,QNT2016,QNT2017,QNT2018,QNT2019,QNT2020,VL2015,VL2016,VL2017,VL2018,VL2019,VL2020
1,Kilifi,0.00,43980.96,43926.80,44044.32,52853.20,52913.00,0.00,1980.00,2500.00,2402.00,2219.80,2384.00
2,Kwale,0.00,38493.00,39070.70,39175.23,46226.80,46240.00,0.00,1760.00,1830.00,1919.60,2126.40,2139.00
3,Lamu,0.00,5515.80,5871.70,5887.40,6770.50,6792.00,0.00,270.00,274.00,282.60,304.70,322.00
4,Mombasa,0.00,1843.00,1948.00,1953.20,2343.80,2361.00,0.00,87.80,91.00,93.80,103.10,122.00
5,Taita Taveta,0.00,926.27,757.04,759.06,872.90,858.00,0.00,34.10,35.40,37.95,37.50,36.10
6,Tana River,0.00,850.98,738.60,740.57,822.10,849.00,0.00,33.30,34.50,36.30,37.00,35.30
